Feature: race=Amer-Indian-Eskimo (1.0%, 63 persons) | Precision: 0.3333 | Recall: 0.4000 | F1: 0.3636
Feature: race=Other (1.0%, 67 persons) | Precision: 0.5000 | Recall: 0.7500 | F1: 0.6000
Feature: sex=Male (66.7%, 4345 persons) | Precision: 0.7250 | Recall: 0.6407 | F1: 0.6802
Feature: sex=Female (33.3%, 2168 persons) | Precision: 0.7654 | Recall: 0.5805 | F1: 0.6602
Feature: native-country=United-States (89.3%, 5819 persons) | Precision: 0.7266 | Recall: 0.6310 | F1: 0.6754
Feature: native-country=India (0.3%, 22 persons) | Precision: 0.8333 | Recall: 0.9091 | F1: 0.8696
Feature: native-country=Philippines (0.6%, 41 persons) | Precision: 0.6667 | Recall: 0.8000 | F1: 0.7273
Feature: native-country=Mexico (2.1%, 134 persons) | Precision: 1.0000 | Recall: 0.1250 | F1: 0.2222
Feature: native-country=Puerto-Rico (0.4%, 25 persons) | Precision: 1.0000 | Recall: 0.6667 | F1: 0.8000
Feature: native-country=France (0.1%, 7 persons) | Precision: 0.6667 | Recall: 1.0000 | F1: 0.8000
Feature: native-country=Jamaica (0.3%, 20 persons) | Precision: 0.5000 | Recall: 0.3333 | F1: 0.4000
Feature: native-country=Haiti (0.2%, 10 persons) | Precision: 0.5000 | Recall: 0.5000 | F1: 0.5000
Feature: native-country=Vietnam (0.2%, 14 persons) | Precision: 1.0000 | Recall: 0.0000 | F1: 0.0000
Feature: native-country=China (0.2%, 16 persons) | Precision: 0.5000 | Recall: 0.5000 | F1: 0.5000
Feature: native-country=? (2.0%, 129 persons) | Precision: 0.8800 | Recall: 0.6111 | F1: 0.7213
Feature: native-country=England (0.3%, 17 persons) | Precision: 0.5714 | Recall: 0.5714 | F1: 0.5714
Feature: native-country=Germany (0.5%, 30 persons) | Precision: 0.8333 | Recall: 0.8333 | F1: 0.8333
Feature: native-country=Japan (0.1%, 9 persons) | Precision: 0.6000 | Recall: 1.0000 | F1: 0.7500
Feature: native-country=Canada (0.3%, 21 persons) | Precision: 0.6250 | Recall: 0.8333 | F1: 0.7143
Feature: native-country=Dominican-Republic (0.1%, 8 persons) | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
Feature: native-country=Ecuador (0.1%, 6 persons) | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
Feature: native-country=Cuba (0.3%, 22 persons) | Precision: 0.7500 | Recall: 1.0000 | F1: 0.8571
Feature: native-country=Ireland (0.1%, 5 persons) | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
Feature: native-country=Scotland (0.0%, 3 persons) | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
Feature: native-country=Guatemala (0.2%, 15 persons) | Precision: 1.0000 | Recall: 0.0000 | F1: 0.0000
Feature: native-country=El-Salvador (0.3%, 18 persons) | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
Feature: native-country=Hungary (0.0%, 3 persons) | Precision: 1.0000 | Recall: 0.0000 | F1: 0.0000
Feature: native-country=Trinadad&Tobago (0.0%, 2 persons) | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
Feature: native-country=Laos (0.1%, 6 persons) | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Feature: native-country=South (0.3%, 17 persons) | Precision: 0.6667 | Recall: 0.5000 | F1: 0.5714
Feature: native-country=Italy (0.2%, 11 persons) | Precision: 0.5000 | Recall: 0.2000 | F1: 0.2857
Feature: native-country=Portugal (0.2%, 13 persons) | Precision: 1.0000 | Recall: 0.5000 | F1: 0.6667
Feature: native-country=Yugoslavia (0.0%, 3 persons) | Precision: 1.0000 | Recall: 0.5000 | F1: 0.6667
Feature: native-country=Peru (0.0%, 3 persons) | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
Feature: native-country=Honduras (0.0%, 2 persons) | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
Feature: native-country=Columbia (0.1%, 9 persons) | Precision: 1.0000 | Recall: 0.5000 | F1: 0.6667
Feature: native-country=Outlying-US(Guam-USVI-etc) (0.0%, 2 persons) | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
Feature: native-country=Poland (0.2%, 12 persons) | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
Feature: native-country=Thailand (0.1%, 6 persons) | Precision: 1.0000 | Recall: 0.0000 | F1: 0.0000
Feature: native-country=Nicaragua (0.1%, 6 persons) | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
Feature: native-country=Cambodia (0.1%, 5 persons) | Precision: 1.0000 | Recall: 0.0000 | F1: 0.0000
Feature: native-country=Taiwan (0.2%, 10 persons) | Precision: 0.7500 | Recall: 1.0000 | F1: 0.8571
Feature: native-country=Greece (0.1%, 5 persons) | Precision: 1.0000 | Recall: 0.6667 | F1: 0.8000
Feature: native-country=Hong (0.0%, 1 persons) | Precision: 1.0000 | Recall: 0.0000 | F1: 0.0000
Feature: native-country=Iran (0.1%, 5 persons) | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
Feature: native-country=Holand-Netherlands (0.0%, 1 persons) | Precision: 1.0000 | Recall: 1.0000 | F1: 1.0000
